epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16472.4,1.24079,1.45023,1.57137,0.7427,0.63977,0.71534,0.43001,1.36396,1.34845,1.75686,0.0011882,0.0011882,0.0011882
43,16766.5,1.22754,1.40931,1.56976,0.73013,0.64972,0.71022,0.42091,1.37972,1.35229,1.78573,0.0011684,0.0011684,0.0011684
44,17185.8,1.21696,1.42122,1.57776,0.71156,0.64978,0.70487,0.42713,1.31605,1.38912,1.70771,0.0011486,0.0011486,0.0011486
45,17503.4,1.19281,1.36417,1.56145,0.70236,0.68355,0.69949,0.43384,1.29638,1.35663,1.69732,0.0011288,0.0011288,0.0011288
46,17893.1,1.2142,1.3994,1.5533,0.72021,0.67355,0.72124,0.44357,1.32765,1.30378,1.70308,0.001109,0.001109,0.001109
47,18177.7,1.22839,1.423,1.56674,0.72261,0.63977,0.70735,0.43448,1.30062,1.36288,1.6942,0.0010892,0.0010892,0.0010892
48,18596.9,1.24134,1.39466,1.56842,0.75332,0.66272,0.73464,0.45401,1.28591,1.31669,1.69045,0.0010694,0.0010694,0.0010694
49,18881.2,1.22823,1.3912,1.56896,0.76317,0.65854,0.74738,0.46888,1.26456,1.26462,1.68281,0.0010496,0.0010496,0.0010496
50,19264.2,1.21473,1.38921,1.55697,0.75009,0.63633,0.7109,0.43584,1.35021,1.39084,1.72949,0.0010298,0.0010298,0.0010298
51,19528.6,1.19985,1.32711,1.53938,0.73304,0.65427,0.73497,0.44519,1.33581,1.3559,1.71792,0.00101,0.00101,0.00101
52,19911.9,1.21096,1.39835,1.54982,0.74324,0.65291,0.72618,0.44897,1.27956,1.2998,1.67664,0.0009902,0.0009902,0.0009902
53,20176.5,1.2158,1.40559,1.55748,0.75072,0.68605,0.75618,0.47405,1.26909,1.23951,1.65852,0.0009704,0.0009704,0.0009704
54,20562.6,1.18594,1.36691,1.52271,0.73046,0.68043,0.7418,0.44436,1.3402,1.30358,1.75984,0.0009506,0.0009506,0.0009506
55,20856.2,1.1819,1.33536,1.5292,0.78389,0.68052,0.76424,0.48669,1.24669,1.24365,1.63652,0.0009308,0.0009308,0.0009308
56,21275.9,1.16017,1.30142,1.52304,0.77051,0.68355,0.7658,0.49069,1.23743,1.23427,1.63785,0.000911,0.000911,0.000911
57,21579.3,1.17639,1.32846,1.52391,0.74326,0.66979,0.74683,0.467,1.25684,1.24499,1.67343,0.0008912,0.0008912,0.0008912
58,21943.9,1.16801,1.32294,1.51561,0.74741,0.6848,0.76923,0.49539,1.20947,1.20348,1.60203,0.0008714,0.0008714,0.0008714
59,22251.1,1.15199,1.29212,1.51672,0.79386,0.68355,0.772,0.50538,1.19318,1.2053,1.58249,0.0008516,0.0008516,0.0008516
60,22616.7,1.13686,1.27593,1.4972,0.80451,0.69543,0.78887,0.51836,1.1943,1.13786,1.57731,0.0008318,0.0008318,0.0008318
61,22929.5,1.12778,1.23945,1.4863,0.79444,0.70094,0.79084,0.52114,1.19898,1.11699,1.58512,0.000812,0.000812,0.000812
62,23321.1,1.15839,1.28029,1.5233,0.78238,0.71107,0.78159,0.50114,1.24229,1.16817,1.61301,0.0007922,0.0007922,0.0007922
63,23636.9,1.15527,1.28254,1.52382,0.78045,0.69807,0.77324,0.49253,1.24511,1.19672,1.6298,0.0007724,0.0007724,0.0007724
64,24088.3,1.11381,1.2569,1.48108,0.81163,0.70062,0.79961,0.52218,1.19244,1.11209,1.58083,0.0007526,0.0007526,0.0007526
65,24447.7,1.15155,1.27119,1.50851,0.78899,0.72608,0.7923,0.52658,1.1783,1.14568,1.56835,0.0007328,0.0007328,0.0007328
66,24860.8,1.11298,1.26666,1.48115,0.79223,0.70585,0.78441,0.52787,1.14961,1.18998,1.54638,0.000713,0.000713,0.000713
67,25164.9,1.09753,1.23389,1.47438,0.77341,0.73233,0.80301,0.54268,1.13676,1.13101,1.53665,0.0006932,0.0006932,0.0006932
68,25622.9,1.10122,1.20328,1.48309,0.80497,0.73171,0.80756,0.54493,1.13688,1.06835,1.52176,0.0006734,0.0006734,0.0006734
69,25942.6,1.12005,1.2114,1.48469,0.83741,0.71357,0.8097,0.53812,1.1442,1.06491,1.53891,0.0006536,0.0006536,0.0006536
70,26353.2,1.11372,1.22539,1.47798,0.79561,0.7279,0.80278,0.54305,1.11682,1.07899,1.512,0.0006338,0.0006338,0.0006338
71,26671.7,1.08429,1.19561,1.45551,0.81348,0.73171,0.81688,0.5556,1.10408,1.02996,1.50004,0.000614,0.000614,0.000614
72,27081.3,1.08395,1.16898,1.46115,0.81396,0.73483,0.81472,0.56048,1.10077,1.05128,1.49365,0.0005942,0.0005942,0.0005942
73,27399.8,1.0787,1.15305,1.45346,0.80787,0.73671,0.82021,0.56122,1.10631,1.04876,1.48767,0.0005744,0.0005744,0.0005744
74,27810.2,1.07089,1.15464,1.44335,0.81387,0.74422,0.82451,0.57611,1.08347,0.99176,1.46406,0.0005546,0.0005546,0.0005546
