epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,395.226,1.41566,2.56722,1.67825,0.00399,0.87242,0.25076,0.10556,1.87072,3.52619,2.22305,0.00046,0.00046,0.00046
2,833.605,1.32905,2.07469,1.59961,0.39031,0.26141,0.20353,0.07365,2.01763,3.47784,3.10914,0.00075388,0.00075388,0.00075388
3,1259.34,1.39373,1.96022,1.65453,0.14284,0.27767,0.08556,0.02687,2.25721,3.69826,3.20362,0.00085768,0.00085768,0.00085768
4,1663.55,1.36635,1.83646,1.61973,0.39225,0.32083,0.26403,0.09734,2.0053,3.20137,3.30342,0.0007714,0.0007714,0.0007714
